asset_id,technical_name,source_ref,column_names_text,business_domain,y_pred,y_pred_alt,confidence,confidence_band,match_llm,llm_consensus_score,review_reason
1130773,OMB_HADD_TAO,PS_OMB_HADD_TAO,ADDRESS1 | ADDRESS2 | ADDRESS3 | ADDRESS4 | ADDRESS_SEQ_NUM | ADDR_FIELD1 | ADDR_FIELD2 | ADDR_FIELD3 | ALT_NAME1 | ALT_NAME2 | CITY | COUNTRY | COUNTRY_CODE | COUNTY | EFFDT | EFF_STATUS | EXTENSION | FAX | GEO_CODE | HOUSE_TYPE | IN_CITY_LIMIT | LAST_MAINT_OPRID | NUM1 | NUM2 | PHONE | POSTAL | PROCESS_INSTANCE | SETID | SHIP_TO_CUST_ID | STATE | TAX_CD,Ventes & Clients,Supply Chain / Logistique / Production,Finance & Contrôle,0.3113,low,0,0.5,low_model_confidence
1048629,SYSADM.PS_OCH_ADD_TAO,PS_OCH_ADD_TAO,ADDRESS1 | ADDRESS2 | ADDRESS3 | ADDRESS4 | ADDRESS_SEQ_NUM | ADDR_FIELD1 | ADDR_FIELD2 | ADDR_FIELD3 | ALT_NAME1 | ALT_NAME2 | CITY | COUNTRY | COUNTRY_CODE | COUNTY | EFFDT | EFF_STATUS | EXTENSION | FAX | GEO_CODE | HOUSE_TYPE | IN_CITY_LIMIT | LAST_MAINT_OPRID | NUM1 | NUM2 | PHONE | POSTAL | PROCESS_INSTANCE | SETID | SHIP_TO_CUST_ID | STATE | TAX_CD,Ventes & Clients,Finance & Contrôle,Ventes & Clients,0.321,low,0,0.5,low_model_confidence
1071688,SYSADM.PS_RS_MEMBER_DATES,PS_RS_MEMBER_DATES,CAP_PERCENT | END_DATE | FMS_DTTM_STAMP | FMS_LASTUPDDTTM | FMS_LASTUPDOPRID | FMS_OPRID | MEMBER_ID | POOL_ID | POOL_ID_FROM | START_DATE,RH,RH,IT & Sécurité,0.3271,low,1,0.5,low_model_confidence
1035902,SYSADM.PS_FOORDREVENT_UPG,PS_FOORDREVENT_UPG,DEFAULT_FLAG | DESCR254 | ORDER_EVENT_GROUP | SETID,Supply Chain / Logistique / Production,Other,IT & Sécurité,0.3273,low,0,0.5,low_model_confidence
1153560,RS_MEMBER_DATES,PS_RS_MEMBER_DATES,CAP_PERCENT | END_DATE | FMS_DTTM_STAMP | FMS_LASTUPDDTTM | FMS_LASTUPDOPRID | FMS_OPRID | MEMBER_ID | POOL_ID | POOL_ID_FROM | START_DATE,RH,RH,IT & Sécurité,0.3299,low,1,0.5,low_model_confidence
1031758,SYSADM.PS_EX_APPRVR_TYPE,PS_EX_APPRVR_TYPE,APPROVER_CATEGORY | APPRVR_TYPE | DESCR | DESCR254 | ROUTING_CHARTFIELD | SETID,IT & Sécurité,RH,Other,0.3319,low,0,0.5,low_model_confidence
1117232,FO_APP_REF,PS_FO_APP_REF,ADDRESS1 | ADDRESS2 | ADDRESS3 | ADDRESS4 | ADDR_FIELD1 | ADDR_FIELD2 | ADDR_FIELD3 | APPLID | CITY | COMMENTS | COUNTRY | COUNTRY_CODE | COUNTY | DT_CONTACTD | EMAIL_ADDR | EMPLOYER | EXTENSION | FO_TEMPLATE_TYPE | GEO_CODE | HOUSE_TYPE | IN_CITY_LIMIT | NUM1 | NUM2 | OPRID | PHONE | PHONE_TYPE | POSTAL | REFERENCE_CHECK | REFERENCE_NUM | REFERENCE_TYPE | REF_NAME | REF_TITLE | SETID | STATE | TEMPLATE_CODE,Other,RH,IT & Sécurité,0.3391,low,0,0.5,low_model_confidence
1105405,DR_ENTRYSUB_TBL,PS_DR_ENTRYSUB_TBL,DRAFT_BUSN_EVENT | DRAFT_POST_ACTION | DRAFT_SUB_EVENT | DRAFT_TYPE | ENTRY_USE_ID | SETID,Other,Finance & Contrôle,IT & Sécurité,0.3397,low,0,0.5,low_model_confidence
1090494,BC_PRJREQST_MST,PS_BC_PRJREQST_MST,ACTION_COUNT | ACTION_TYPE | BUSINESS_UNIT | COMMENTS_254 | COMPLETED | COMPLETED_ID | COMPLETION_DATE | DESCR | DUE_DATE | FMS_DTTM_STAMP | FMS_LASTUPDDTTM | FMS_LASTUPDOPRID | FMS_OPRID | MILESTONE_ID | MILESTONE_STATUS | OWNER_ID | PPK_OWNER_ID | PROJECT_ID | REQUIRED_FLAG,IT & Sécurité,Other,IT & Sécurité,0.3401,low,0,0.5,low_model_confidence
1111734,EOCM_FINL_TMP,PS_EOCM_FINL_TMP,CURRENCY_CD | EFFDT | EFF_STATUS | EOCM_ACCESS_ID | EOCM_CATALOG_ID | EOCM_CONVERSION_RT | EOCM_CRM_CAT_NBR | EOCM_CRM_ORDERABLE | EOCM_CRM_SERVICE | EOCM_DISCONTINU_DT | EOCM_ELM_CEU | EOCM_ELM_KEYWORDS | EOCM_ELM_NOTES | EOCM_EPRO_DESCR | EOCM_EPRO_FILENAME | EOCM_FILEEXTENSION | EOCM_FILEPATH | EOCM_ITMVPRIORITY | EOCM_LEAD_TIME | EOCM_LEARN_OBJ_ID | EOCM_MFG_ID | EOCM_MFG_PART_NUM | EOCM_MIN_QTY | EOCM_MODEL_NBR | EOCM_OFFER_ID | EOCM_OFFER_NM | EOCM_OFFER_NM_UP | EOCM_OFFER_STATE | EOCM_OFFER_STATUS | EOCM_PROD_BRAND | EOCM_PROD_KIT_FLAG | EOCM_PROP_NAME_1 | EOCM_PROP_NAME_2 | EOCM_PROP_NAME_3 | EOCM_PROP_NAME_4 | EOCM_PROP_NAME_5 | EOCM_PROP_VAL_1 | EOCM_PROP_VAL_2 | EOCM_PROP_VAL_3 | EOCM_PROP_VAL_4 | EOCM_PROP_VAL_5 | EOCM_REQUISITE_ID | EOCM_ROW_ID | EOCM_SUP_CAT_CD | EOCM_SUP_CAT_NM | EOCM_SUP_CAT_NM_UP | EOCM_SUP_OFFER_D | EOCM_SUP_OFFER_NM | EOCM_SUPOFFERNM_UP | EOCM_SUP_OFFER_PR | EOCM_SUP_OFFER_SKU | EOCM_SUP_OFFER_UOM | EOCM_TP_VER_ID | EOCM_VNDR_PART_EXT | EOCM_VNDR_PART_NUM | LASTUPDDTTM | LASTUPDOPRID | MESSAGE_NBR | PROCESS_INSTANCE | SETID | URL,Achats & Fournisseurs,Finance & Contrôle,Ventes & Clients,0.3414,low,0,0.5,low_model_confidence
1101953,CUSTD_ARCH,PS_CUSTD_ARCH,ARCHIVE_DT | ARCHIVE_ID | BUSINESS_UNIT | CUST_ID,Finance & Contrôle,Finance & Contrôle,Other,0.3436,low,1,1.0,low_model_confidence
1124971,INV_ADDRESS_TMP,PS_INV_ADDRESS_TMP,ADDRESS1 | ADDRESS2 | ADDRESS3 | ADDRESS4 | ADDRESS_SEQ_NUM | ADDR_FIELD1 | ADDR_FIELD2 | ADDR_FIELD3 | CITY | COUNTRY | COUNTY | EFFDT | GEO_CODE | HOUSE_TYPE | IN_CITY_LIMIT | LOCATION | NUM1 | NUM2 | POSTAL | SETID | SHIP_TO_CUST_ID | STATE,Finance & Contrôle,Finance & Contrôle,Other,0.3523,low,1,1.0,low_model_confidence
1109472,EM_CONVERLN_LN,PS_EM_CONVERLN_LN,BUSINESS_UNIT | CONVER_HDR_SEQ_NUM | CONVER_LN_SEQ_NUM | DESCRLONG | LANGUAGE_CD | OPRID | VOUCHER_ID,IT & Sécurité,Other,IT & Sécurité,0.354,low,0,0.5,low_model_confidence
1083066,SYSADM.PS_WM_WO_ALERT_STS,PS_WM_WO_ALERT_STS,SETID | STATUS_CD | WO_ALERT_TYPE,IT & Sécurité,Supply Chain / Logistique / Production,Other,0.3548,low,0,0.5,low_model_confidence
1153838,RS_SEARCH_POOLS,PS_RS_SEARCH_POOLS,DESCR | MANAGER_ID | POOL_ID | SELECT_CB | SELECTED_POOL,Other,IT & Sécurité,Other,0.3552,low,0,0.5,low_model_confidence
1039850,SYSADM.PS_IN_BU_PAR_EOC,PS_IN_BU_PAR_EOC,BUSINESS_UNIT | CHUNK_RULE_ID | EFFDT | INV_CART_ID | MSGNODENAME,Supply Chain / Logistique / Production,IT & Sécurité,Supply Chain / Logistique / Production,0.3554,low,0,0.5,low_model_confidence
1071817,SYSADM.PS_RS_SEARCH_POOLS,PS_RS_SEARCH_POOLS,DESCR | MANAGER_ID | POOL_ID | SELECT_CB | SELECTED_POOL,Other,IT & Sécurité,Other,0.3559,low,0,0.5,low_model_confidence
